iteration,episode,avg_score,best_score,best_avg_score
455,2794,1223.0,4427.0,1303.3
456,2803,1217.8,4427.0,1303.3
457,2809,1209.7,4427.0,1303.3
458,2812,1209.5,4427.0,1303.3
459,2820,1212.2,4427.0,1303.3
460,2826,1209.7,4427.0,1303.3
461,2832,1199.9,4427.0,1303.3
462,2839,1191.2,4427.0,1303.3
463,2844,1194.7,4427.0,1303.3
464,2852,1192.6,4427.0,1303.3
465,2855,1182.4,4427.0,1303.3
466,2859,1182.2,4427.0,1303.3
467,2868,1153.0,4427.0,1303.3
468,2879,1126.2,4427.0,1303.3
469,2887,1107.0,4427.0,1303.3
470,2888,1108.9,4427.0,1303.3
471,2891,1097.7,4427.0,1303.3
472,2897,1077.7,4427.0,1303.3
473,2906,1086.8,4427.0,1303.3
474,2913,1095.3,4427.0,1303.3
475,2917,1105.0,4427.0,1303.3
476,2921,1086.8,4427.0,1303.3
477,2926,1085.3,4427.0,1303.3
478,2934,1105.4,4427.0,1303.3
479,2942,1096.2,4427.0,1303.3
480,2947,1100.5,4427.0,1303.3
481,2951,1104.0,4427.0,1303.3
482,2956,1127.5,4427.0,1303.3
483,2961,1121.5,4427.0,1303.3
484,2970,1121.1,4427.0,1303.3
485,2975,1112.0,4427.0,1303.3
486,2978,1124.0,4427.0,1303.3
487,2981,1116.2,4427.0,1303.3
488,2987,1135.7,4427.0,1303.3
489,2998,1161.8,4427.0,1303.3
490,3001,1161.0,4427.0,1303.3
491,3006,1167.1,4427.0,1303.3
492,3010,1170.1,4427.0,1303.3
493,3017,1157.4,4427.0,1303.3
494,3024,1153.3,4427.0,1303.3
495,3032,1135.6,4427.0,1303.3
496,3037,1126.5,4427.0,1303.3
497,3040,1131.3,4427.0,1303.3
498,3046,1133.2,4427.0,1303.3
499,3054,1104.1,4427.0,1303.3
500,3061,1127.2,4427.0,1303.3
501,3064,1140.8,4427.0,1303.3
502,3070,1136.0,4427.0,1303.3
503,3076,1122.1,4427.0,1303.3
504,3081,1130.7,4427.0,1303.3
505,3089,1128.4,4427.0,1303.3
506,3095,1126.5,4427.0,1303.3
507,3101,1123.4,4427.0,1303.3
508,3108,1115.7,4427.0,1303.3
509,3113,1103.9,4427.0,1303.3
510,3120,1110.2,4427.0,1303.3
511,3123,1108.0,4427.0,1303.3
512,3130,1127.3,4427.0,1303.3
513,3135,1127.7,4427.0,1303.3
514,3144,1142.5,4427.0,1303.3
515,3146,1152.3,4427.0,1303.3
516,3152,1170.1,4427.0,1303.3
517,3158,1182.2,4427.0,1303.3
518,3163,1155.9,4427.0,1303.3
519,3173,1193.1,4427.0,1303.3
520,3180,1192.7,4427.0,1303.3
521,3183,1187.8,4427.0,1303.3
522,3187,1176.9,4427.0,1303.3
523,3192,1177.9,4427.0,1303.3
524,3199,1169.5,4427.0,1303.3
525,3209,1182.5,4427.0,1303.3
526,3216,1204.1,4427.0,1303.3
527,3217,1205.1,4427.0,1303.3
528,3220,1196.4,4427.0,1303.3
529,3226,1198.0,4427.0,1303.3
530,3233,1198.0,4427.0,1303.3
531,3240,1199.5,4427.0,1303.3
532,3247,1197.5,4427.0,1303.3
533,3252,1191.3,4427.0,1303.3
535,3260,1204.1,4427.0,1303.3
536,3268,1203.4,4427.0,1303.3
537,3275,1194.8,4427.0,1303.3
538,3280,1202.9,4427.0,1303.3
539,3285,1200.5,4427.0,1303.3
540,3289,1205.9,4427.0,1303.3
541,3296,1209.8,4427.0,1303.3
542,3307,1194.5,4427.0,1303.3
543,3309,1198.9,4427.0,1303.3
544,3316,1194.3,4427.0,1303.3
545,3317,1197.9,4427.0,1303.3
546,3327,1189.7,4427.0,1303.3
547,3332,1185.2,4427.0,1303.3
548,3339,1185.7,4427.0,1303.3
549,3342,1177.9,4427.0,1303.3
550,3347,1163.0,4427.0,1303.3
551,3353,1139.6,4427.0,1303.3
552,3361,1128.7,4427.0,1303.3
553,3365,1129.9,4427.0,1303.3
554,3372,1120.2,4427.0,1303.3
555,3377,1095.2,4427.0,1303.3
556,3380,1099.5,4427.0,1303.3
557,3387,1100.8,4427.0,1303.3
558,3393,1094.3,4427.0,1303.3
559,3399,1103.0,4427.0,1303.3
560,3406,1101.4,4427.0,1303.3
561,3410,1099.4,4427.0,1303.3
562,3414,1097.6,4427.0,1303.3
563,3416,1093.7,4427.0,1303.3
564,3425,1100.3,4427.0,1303.3
565,3432,1105.2,4427.0,1303.3
566,3437,1108.1,4427.0,1303.3
567,3440,1100.4,4427.0,1303.3
568,3442,1098.5,4427.0,1303.3
569,3451,1117.6,4427.0,1303.3
570,3456,1124.6,4427.0,1303.3
571,3461,1140.9,4427.0,1303.3
572,3465,1138.8,4427.0,1303.3
573,3471,1139.7,4427.0,1303.3
574,3475,1144.9,4427.0,1303.3
575,3480,1149.3,4427.0,1303.3
576,3484,1153.3,4427.0,1303.3
577,3492,1172.6,4427.0,1303.3
578,3494,1172.0,4427.0,1303.3
579,3499,1177.6,4427.0,1303.3
580,3506,1187.1,4427.0,1303.3
581,3510,1185.5,4427.0,1303.3
582,3517,1182.5,4427.0,1303.3
583,3524,1187.9,4427.0,1303.3
584,3529,1177.9,4427.0,1303.3
585,3532,1175.0,4427.0,1303.3
586,3535,1173.5,4427.0,1303.3
587,3543,1186.5,4427.0,1303.3
588,3550,1177.0,4427.0,1303.3
589,3556,1181.6,4427.0,1303.3
590,3559,1161.7,4427.0,1303.3
591,3563,1148.5,4427.0,1303.3
592,3566,1154.0,4427.0,1303.3
593,3578,1188.0,4427.0,1303.3
594,3582,1174.1,4427.0,1303.3
595,3584,1168.3,4427.0,1303.3
596,3589,1168.9,4427.0,1303.3
597,3594,1163.1,4427.0,1303.3
598,3598,1166.2,4427.0,1303.3
599,3608,1176.1,4427.0,1303.3
600,3612,1181.7,4427.0,1303.3
601,3617,1186.6,4427.0,1303.3
602,3621,1183.5,4427.0,1303.3
603,3624,1183.6,4427.0,1303.3
604,3629,1188.5,4427.0,1303.3
605,3639,1203.3,4427.0,1303.3
606,3644,1200.5,4427.0,1303.3
607,3647,1200.4,4427.0,1303.3
608,3651,1204.3,4427.0,1303.3
609,3655,1194.5,4427.0,1303.3
610,3665,1240.8,4427.0,1303.3
611,3673,1262.5,4427.0,1303.3
612,3676,1253.6,4427.0,1303.3
613,3677,1252.8,4427.0,1303.3
614,3685,1262.6,4427.0,1303.3
615,3692,1242.1,4427.0,1303.3
616,3701,1243.0,4427.0,1303.3
617,3704,1254.4,4427.0,1303.3
618,3708,1233.8,4427.0,1303.3
619,3711,1229.1,4427.0,1303.3
620,3715,1237.6,4427.0,1303.3
621,3721,1219.2,4427.0,1303.3
622,3730,1297.7,4427.0,1303.3
623,3735,1297.1,4427.0,1303.3
624,3738,1294.5,4427.0,1303.3
625,3742,1323.6,4427.0,1323.6
626,3750,1328.0,4427.0,1328.0
627,3755,1341.9,4427.0,1341.9
628,3758,1331.7,4427.0,1341.9
629,3766,1326.8,4427.0,1341.9
630,3772,1303.1,4427.0,1341.9
631,3775,1335.2,4427.0,1341.9
632,3779,1340.7,4427.0,1341.9
633,3782,1346.6,4427.0,1346.6
634,3787,1356.5,4427.0,1356.5
635,3795,1381.9,4427.0,1381.9
636,3800,1382.7,4427.0,1382.7
637,3806,1401.1,4427.0,1401.1
638,3808,1405.8,4427.0,1405.8
639,3813,1428.9,4427.0,1428.9
640,3818,1446.6,4427.0,1446.6
641,3824,1457.8,4427.0,1457.8
642,3832,1433.0,4427.0,1457.8
643,3837,1444.4,4427.0,1457.8
644,3842,1432.3,4427.0,1457.8
645,3846,1449.5,4427.0,1457.8
646,3851,1464.9,4427.0,1464.9
647,3856,1448.4,4427.0,1464.9
648,3860,1461.3,4427.0,1464.9
649,3866,1484.3,4427.0,1484.3
650,3869,1491.8,4427.0,1491.8
